image,true_label,verdict,freq_score,noise_score,classifier_score,flagged_ai_strict,flagged_ai_lenient,runtime_sec
real_046.png,real,likely_real,0.2366,0.0991,,False,False,0.54
real_047.png,real,likely_real,0.2077,0.0478,,False,False,0.74
real_048.png,real,likely_real,0.2145,0.1374,,False,False,0.69
real_049.png,real,likely_real,0.206,0.2034,,False,False,0.53
real_050.png,real,likely_real,0.2187,0.1104,,False,False,0.33
real_051.png,real,likely_real,0.2831,0.1488,,False,False,0.47
real_052.png,real,likely_real,0.221,0.1193,,False,False,1.02
real_053.png,real,likely_real,0.2084,0.0639,,False,False,1.35
real_054.png,real,likely_real,0.2101,0.1319,,False,False,0.68
real_055.png,real,likely_real,0.2099,0.18,,False,False,0.4
real_056.png,real,likely_real,0.2144,0.0552,,False,False,0.66
real_057.png,real,likely_real,0.2085,0.1022,,False,False,0.43
real_058.png,real,likely_real,0.2096,0.1137,,False,False,0.52
real_059.png,real,likely_real,0.2242,0.0983,,False,False,0.35
real_060.png,real,likely_real,0.2102,0.1387,,False,False,0.37
real_061.png,real,likely_real,0.2176,0.1446,,False,False,0.31
real_062.png,real,likely_real,0.2073,0.1501,,False,False,0.63
real_063.png,real,likely_real,0.2452,0.14,,False,False,0.42
real_064.png,real,likely_real,0.2466,0.1858,,False,False,0.39
real_065.png,real,likely_real,0.2075,0.0707,,False,False,0.77
real_066.png,real,likely_real,0.2165,0.2055,,False,False,0.83
real_067.png,real,likely_real,0.2146,0.138,,False,False,1.05
real_068.png,real,likely_real,0.2742,0.1702,,False,False,0.93
real_069.png,real,likely_real,0.2085,0.1029,,False,False,0.94
real_070.png,real,likely_real,0.2102,0.1375,,False,False,0.56
real_071.png,real,likely_real,0.2094,0.1692,,False,False,0.35
real_072.png,real,likely_real,0.2669,0.1463,,False,False,0.41
real_073.png,real,likely_real,0.2099,0.1362,,False,False,0.62
real_074.png,real,likely_real,0.2187,0.2043,,False,False,0.74
real_075.png,real,likely_real,0.2176,0.0464,,False,False,0.47
real_076.png,real,likely_real,0.2095,0.1201,,False,False,0.26
real_077.png,real,likely_real,0.2137,0.1016,,False,False,0.28
real_078.png,real,likely_real,0.2057,0.0921,,False,False,0.22
real_079.png,real,likely_real,0.2099,0.0764,,False,False,0.23
real_080.png,real,likely_real,0.2175,0.0803,,False,False,0.21
real_081.png,real,likely_real,0.2084,0.1102,,False,False,0.24
real_082.png,real,likely_real,0.2239,0.1619,,False,False,0.31
real_083.png,real,likely_real,0.2063,0.1481,,False,False,0.25
real_084.png,real,likely_real,0.2075,0.1875,,False,False,0.22
real_085.png,real,likely_real,0.2373,0.0173,,False,False,0.38
real_086.png,real,likely_real,0.2139,0.0726,,False,False,0.21
real_087.png,real,likely_real,0.2107,0.0916,,False,False,0.21
real_088.png,real,likely_real,0.2126,0.1114,,False,False,0.3
real_089.png,real,likely_real,0.2499,0.1939,,False,False,0.33
real_090.png,real,likely_real,0.2137,0.129,,False,False,0.24
real_091.png,real,likely_real,0.2346,0.176,,False,False,0.21
real_092.png,real,likely_real,0.2047,0.1069,,False,False,0.37
real_093.png,real,likely_real,0.22,0.122,,False,False,0.4
real_094.png,real,likely_real,0.2324,0.1031,,False,False,0.22
real_095.png,real,likely_real,0.2131,0.0928,,False,False,0.22
real_096.png,real,likely_real,0.222,0.0991,,False,False,0.24
real_097.png,real,likely_real,0.2102,0.2101,,False,False,0.2
real_098.png,real,likely_real,0.2184,0.1358,,False,False,0.26
real_099.png,real,likely_real,0.2338,0.0935,,False,False,0.29
real_100.png,real,likely_real,0.2043,0.0966,,False,False,0.24
real_101.png,real,likely_real,0.2294,0.1185,,False,False,0.27
real_102.png,real,likely_real,0.2098,0.0513,,False,False,0.34
real_103.png,real,likely_real,0.2357,0.1583,,False,False,0.49
real_104.png,real,likely_real,0.2077,0.1671,,False,False,0.34
real_105.png,real,likely_real,0.2359,0.1972,,False,False,0.38
real_106.png,real,likely_real,0.2089,0.1377,,False,False,0.39
real_107.png,real,likely_real,0.2074,0.1981,,False,False,0.39
real_108.png,real,likely_real,0.2345,0.1105,,False,False,0.27
real_109.png,real,likely_real,0.2235,0.1261,,False,False,0.48
real_110.png,real,likely_real,0.2305,0.0763,,False,False,0.23
real_111.png,real,likely_real,0.2184,0.112,,False,False,0.23
real_112.png,real,likely_real,0.2098,0.1111,,False,False,0.23
real_113.png,real,likely_real,0.2169,0.128,,False,False,0.21
real_114.png,real,likely_real,0.214,0.0936,,False,False,0.26
real_115.png,real,likely_real,0.2168,0.2015,,False,False,0.25
real_116.png,real,likely_real,0.2144,0.1383,,False,False,0.24
real_117.png,real,likely_real,0.2175,0.0597,,False,False,0.58
real_118.png,real,likely_real,0.2212,0.127,,False,False,0.45
real_119.png,real,likely_real,0.2103,0.1808,,False,False,0.41
ai_000.png,ai_generated,likely_ai_generated,0.6871,0.5831,,True,True,0.26
ai_001.png,ai_generated,likely_ai_generated,0.6306,0.587,,True,True,0.41
ai_002.png,ai_generated,likely_ai_generated,0.7,0.5854,,True,True,0.23
ai_003.png,ai_generated,likely_ai_generated,0.6525,0.5815,,True,True,0.56
ai_004.png,ai_generated,likely_ai_generated,0.6132,0.572,,True,True,0.26
ai_005.png,ai_generated,likely_ai_generated,0.7083,0.5834,,True,True,0.22
ai_006.png,ai_generated,suspicious,0.461,0.4894,,False,True,0.4
ai_007.png,ai_generated,suspicious,0.5013,0.4715,,False,True,0.42
ai_008.png,ai_generated,likely_ai_generated,0.6174,0.5876,,True,True,1.05
ai_009.png,ai_generated,likely_ai_generated,0.5909,0.54,,True,True,0.59
ai_010.png,ai_generated,suspicious,0.4075,0.502,,False,True,0.25
ai_011.png,ai_generated,likely_ai_generated,0.5759,0.5352,,True,True,0.42
ai_012.png,ai_generated,likely_ai_generated,0.6049,0.5827,,True,True,0.34
ai_013.png,ai_generated,likely_ai_generated,0.6675,0.5854,,True,True,0.33
ai_014.png,ai_generated,likely_ai_generated,0.6621,0.5887,,True,True,0.3
ai_015.png,ai_generated,suspicious,0.4963,0.5425,,False,True,0.25
ai_016.png,ai_generated,likely_ai_generated,0.6691,0.582,,True,True,0.28
ai_017.png,ai_generated,likely_ai_generated,0.6276,0.5891,,True,True,0.25
ai_018.png,ai_generated,likely_ai_generated,0.6179,0.5853,,True,True,0.26
ai_019.png,ai_generated,likely_ai_generated,0.5829,0.5231,,True,True,0.23
ai_020.png,ai_generated,likely_ai_generated,0.6398,0.5849,,True,True,0.25
ai_021.png,ai_generated,likely_ai_generated,0.697,0.5865,,True,True,0.26
ai_022.png,ai_generated,likely_ai_generated,0.6054,0.5548,,True,True,0.33
ai_023.png,ai_generated,likely_ai_generated,0.737,0.5251,,True,True,0.23
ai_024.png,ai_generated,likely_ai_generated,0.722,0.5865,,True,True,0.2
ai_025.png,ai_generated,likely_ai_generated,0.6465,0.5859,,True,True,0.25
ai_026.png,ai_generated,likely_ai_generated,0.7158,0.574,,True,True,0.22
ai_027.png,ai_generated,likely_ai_generated,0.6704,0.5842,,True,True,0.21
ai_028.png,ai_generated,suspicious,0.604,0.4612,,False,True,0.23
ai_029.png,ai_generated,likely_ai_generated,0.7207,0.5731,,True,True,0.22
ai_030.png,ai_generated,likely_ai_generated,0.6821,0.5874,,True,True,0.27
ai_031.png,ai_generated,suspicious,0.5334,0.5575,,False,True,0.36
ai_032.png,ai_generated,likely_ai_generated,0.622,0.5851,,True,True,0.22
ai_033.png,ai_generated,likely_ai_generated,0.6527,0.5826,,True,True,0.22
ai_034.png,ai_generated,suspicious,0.421,0.4971,,False,True,0.23
ai_035.png,ai_generated,likely_ai_generated,0.6832,0.5878,,True,True,0.24
ai_036.png,ai_generated,likely_ai_generated,0.5438,0.5807,,True,True,0.26
ai_037.png,ai_generated,suspicious,0.4817,0.4938,,False,True,0.25
ai_038.png,ai_generated,likely_ai_generated,0.6153,0.5493,,True,True,0.23
ai_039.png,ai_generated,suspicious,0.5405,0.5176,,False,True,0.28
ai_040.png,ai_generated,likely_ai_generated,0.5774,0.5524,,True,True,0.19
ai_041.png,ai_generated,suspicious,0.4127,0.5003,,False,True,0.27
ai_042.png,ai_generated,suspicious,0.5321,0.5533,,False,True,0.21
ai_043.png,ai_generated,likely_ai_generated,0.6997,0.5837,,True,True,0.22
ai_044.png,ai_generated,likely_ai_generated,0.6382,0.5857,,True,True,0.25
ai_045.png,ai_generated,suspicious,0.4281,0.4426,,False,True,0.21
ai_046.png,ai_generated,likely_ai_generated,0.6814,0.5849,,True,True,0.46
ai_047.png,ai_generated,suspicious,0.7092,0.2395,,False,True,0.24
ai_048.png,ai_generated,likely_ai_generated,0.7075,0.5868,,True,True,0.21
ai_049.png,ai_generated,likely_ai_generated,0.7188,0.5891,,True,True,0.19
ai_050.png,ai_generated,suspicious,0.4597,0.5206,,False,True,0.35
ai_051.png,ai_generated,likely_ai_generated,0.7297,0.5473,,True,True,0.24
ai_052.png,ai_generated,likely_ai_generated,0.7208,0.5866,,True,True,0.21
ai_053.png,ai_generated,likely_ai_generated,0.5912,0.5779,,True,True,0.21
ai_054.png,ai_generated,likely_ai_generated,0.6327,0.5856,,True,True,0.21
ai_055.png,ai_generated,likely_ai_generated,0.6278,0.5882,,True,True,0.25
ai_056.png,ai_generated,suspicious,0.4702,0.5826,,False,True,0.25
ai_057.png,ai_generated,suspicious,0.4355,0.5184,,False,True,0.21
ai_058.png,ai_generated,suspicious,0.5064,0.55,,False,True,0.21
ai_059.png,ai_generated,likely_ai_generated,0.712,0.5848,,True,True,0.21
ai_060.png,ai_generated,likely_ai_generated,0.6752,0.5874,,True,True,0.27
ai_061.png,ai_generated,likely_ai_generated,0.5751,0.5567,,True,True,0.22
ai_062.png,ai_generated,likely_ai_generated,0.5704,0.5335,,True,True,0.24
ai_063.png,ai_generated,likely_ai_generated,0.747,0.5874,,True,True,0.2
ai_064.png,ai_generated,likely_ai_generated,0.6706,0.5535,,True,True,0.21
ai_065.png,ai_generated,suspicious,0.4374,0.4856,,False,True,0.24
ai_066.png,ai_generated,likely_ai_generated,0.7374,0.589,,True,True,0.29
ai_067.png,ai_generated,likely_ai_generated,0.6918,0.5862,,True,True,0.24
ai_068.png,ai_generated,likely_ai_generated,0.6618,0.5862,,True,True,0.29
ai_069.png,ai_generated,suspicious,0.5373,0.5092,,False,True,0.22
ai_070.png,ai_generated,likely_ai_generated,0.5809,0.5724,,True,True,0.26
ai_071.png,ai_generated,suspicious,0.5293,0.5655,,False,True,0.28
ai_072.png,ai_generated,likely_ai_generated,0.6912,0.5871,,True,True,0.25
ai_073.png,ai_generated,likely_ai_generated,0.6632,0.5848,,True,True,0.3
ai_074.png,ai_generated,likely_ai_generated,0.6987,0.5897,,True,True,0.25
ai_075.png,ai_generated,suspicious,0.4951,0.5542,,False,True,0.23
ai_076.png,ai_generated,likely_ai_generated,0.6979,0.5858,,True,True,0.23
ai_077.png,ai_generated,suspicious,0.5617,0.4897,,False,True,0.21
ai_078.png,ai_generated,likely_ai_generated,0.6515,0.5853,,True,True,0.22
ai_079.png,ai_generated,suspicious,0.417,0.4501,,False,True,0.35
ai_080.png,ai_generated,likely_ai_generated,0.7008,0.5694,,True,True,0.28
ai_081.png,ai_generated,likely_ai_generated,0.6394,0.5849,,True,True,0.31
ai_082.png,ai_generated,likely_ai_generated,0.727,0.578,,True,True,0.2
ai_083.png,ai_generated,likely_ai_generated,0.5313,0.5688,,True,True,0.2
ai_084.png,ai_generated,likely_ai_generated,0.6493,0.5886,,True,True,0.22
ai_085.png,ai_generated,likely_ai_generated,0.5463,0.5803,,True,True,0.35
ai_086.png,ai_generated,suspicious,0.444,0.548,,False,True,0.28
ai_087.png,ai_generated,likely_ai_generated,0.6177,0.5853,,True,True,0.24
ai_088.png,ai_generated,likely_ai_generated,0.6748,0.5865,,True,True,0.26
ai_089.png,ai_generated,likely_ai_generated,0.6854,0.5885,,True,True,0.22
ai_090.png,ai_generated,likely_ai_generated,0.6403,0.5651,,True,True,0.24
ai_091.png,ai_generated,likely_ai_generated,0.6666,0.5871,,True,True,0.22
ai_092.png,ai_generated,suspicious,0.5387,0.5312,,False,True,0.2
ai_093.png,ai_generated,likely_ai_generated,0.6909,0.5852,,True,True,0.21
ai_094.png,ai_generated,likely_ai_generated,0.5766,0.5365,,True,True,0.25
ai_095.png,ai_generated,likely_ai_generated,0.6209,0.4959,,True,True,0.33
ai_096.png,ai_generated,suspicious,0.3787,0.5721,,False,True,0.27
ai_097.png,ai_generated,likely_ai_generated,0.7323,0.5884,,True,True,0.25
ai_098.png,ai_generated,suspicious,0.4874,0.4948,,False,True,0.23
ai_099.png,ai_generated,likely_ai_generated,0.5153,0.5852,,True,True,0.3
ai_100.png,ai_generated,suspicious,0.554,0.5422,,False,True,0.29
ai_101.png,ai_generated,likely_ai_generated,0.7128,0.5858,,True,True,0.37
ai_102.png,ai_generated,suspicious,0.4539,0.5647,,False,True,0.29
ai_103.png,ai_generated,likely_ai_generated,0.7439,0.5868,,True,True,0.3
ai_104.png,ai_generated,likely_ai_generated,0.6256,0.5879,,True,True,0.36
ai_105.png,ai_generated,likely_ai_generated,0.6326,0.5881,,True,True,0.29
ai_106.png,ai_generated,suspicious,0.5358,0.5417,,False,True,0.23
ai_107.png,ai_generated,suspicious,0.5114,0.57,,False,True,0.37
ai_108.png,ai_generated,suspicious,0.5074,0.5802,,False,True,0.28
ai_109.png,ai_generated,likely_ai_generated,0.7122,0.5863,,True,True,0.23
ai_110.png,ai_generated,likely_ai_generated,0.7331,0.5833,,True,True,0.3
ai_111.png,ai_generated,likely_ai_generated,0.7035,0.5841,,True,True,0.22
ai_112.png,ai_generated,suspicious,0.7251,0.2405,,False,True,0.23
ai_113.png,ai_generated,likely_ai_generated,0.7168,0.5847,,True,True,0.24
ai_114.png,ai_generated,likely_ai_generated,0.6354,0.5731,,True,True,0.22
ai_115.png,ai_generated,likely_ai_generated,0.6256,0.5881,,True,True,0.2
ai_116.png,ai_generated,likely_ai_generated,0.6671,0.5858,,True,True,0.22
ai_117.png,ai_generated,suspicious,0.5461,0.4838,,False,True,0.27
ai_118.png,ai_generated,suspicious,0.4244,0.5235,,False,True,0.21
ai_119.png,ai_generated,suspicious,0.4694,0.5524,,False,True,0.19
